"orgname","codedef01","mission"
"NATIONAL ASSOCIATION OF NIGERIAN NURSE PRACTITIONERS USA-GA-NANNPU-GA","Health—General & Rehabilitative","Providing free health services to minority ethnic groups especially of Nigerian heritage both here in the United States and in Nigeria."
"COLUMBIA AREA BLACK NURSES ASSOCIATION","Health—General & Rehabilitative","The Columbia Area Black Nurses Associations mission is to educate, advocate, and broaden the spectrum of health care for the underserved while being of service, providing scholarship,  and mentorship to the nursing profession in our communities."
"ERASE THE RATE INC ","Housing, Shelter","to lower the homicide rate in Philadelphia by elevating, empowering and enhancing the minority community"
"AMERICAN MINORITY HOUSING FOUNDATION","Housing, Shelter","American Minority Housing Foundation provides housing expense reduction and support through charitable grants for down payments to minorities."
"STEMNAUTS FOUNDATION ","Educational Institutions","Fewer than 5% of minority students and women have STEM careers. Our mission is to inspire STEM education which is the gateway for STEM careers by using non standards ways - technical competitions, college visits, collaborations and seminars."
"IMAV STEM OUTREACH PROGRAM CORPORATION","Educational Institutions","IMAV is an outreach program whose mission is teaching minority children STEM fundamental principles. Providing high school students with hands-on engineering projects to choose STEM career paths."
"DIVERSITY ACCESS PIPELINE INC ","Educational Institutions","Diversity Access Pipeline is organized exclusively for charitable purposes within the meaning of section 501(c)(3) to develop and implements methods and strategies that improve diversity in education and professional environments"
"COLLABORATE AND GRADUATE ","Educational Institutions","Collaborate and Graduate's mission is to provide financial support for admissions testing  services for historically underrepresented minority students applying to service academies or selective ROTC programs to increase their chances of acceptance."
"BUILDING MINORITIES THROUGH STEM INCORPORATED","Educational Institutions","This organization was formed to increase the knowledge of underrepresented minority students in grades K-12 and the public about science, technology, engineering, and math(STEM) career paths, through after-school STEM clubs, and community STEM events"
"SLOAN STEM ARTS INC ","Educational Institutions","EARLY EXPOSURE TO STEM FOR MINORITY STUDENTS THROUGH ECONOMICAL PROGRAMS AND RELATEABLE MENTORING."
"HARAMBEE EDUCATIONAL SUPPORT FOUNDATION INC","Educational Institutions","Our mission is to foster educational development, of Black and Latino children, in an effective test preparatory environment that furthers diversity within Specialized High Schools in New York City."
"SOY LECTOR ","Educational Institutions","Close the achievement gap for minority students and increase parent engagement by parents teaching their children to read and write in Spanish.  Providing opportunities, empowerment, freedom, choice and quality of life to both through Bi-literacy."
"TECHMO LEARNING CENTER ","Educational Institutions","TechMO mission is introduce minority youth to technology, create and design, enhancing their thinking capabilities inside and outside of the classroom. Exposing youth to technology and robotics may develop careers in the S.T.E.A.M. field"
"FELICIANA EXPLORERS CLUB ","Educational Institutions","The purpose of Feliciana Explorer's Club is to provide opportunities to participate in educational travel and explore diversity through studying other cultures and geographical differences."
"SET UP FOR SUCCESS NFP ","Educational Institutions","TO ASSIST INDIVIDUALS FROM UNDERPRIVILEGED AND MINORITY BACKGROUNDS WHO HAVE BEEN UNSUCCESSFUL IN THEIR ATTEMPTS TO PASS THE BAR EXAM AND ARE IN NEED OF TUTORING AND OTHER ASSISTANCE TO PASS THE EXAM BUT CANNOT AFFORD IT."
"LEAPS OF IMAGINATION ","Educational Institutions","LEAPS of IMAGINATION works in public elementary school in underserved communities, offering educational experiences that integrate art, literature, environmental science, and social justice."
"SIMEONS HOUSE INC ","Educational Institutions","The mission of Simeon's House is to provide a holistic platform for underprivileged minority teen boys residing in Brooklyn, NY to learn and develop life skills as they prepare for manhood."
"THE CHANGEMAKER PROJECT ","Educational Institutions","The mission of The Changemaker Project is to empower youth to create positive change in the world. Through workshops and online courses, we teach students about social justice issues and then help them develop innovative solutions to social problems."
"VALOR EDUCATIONAL SUPPORT SERVICES ","Educational Institutions","To provide educational enrichment enrichment opportunities to low-income, minority, and underrepresented children and adults through after school programs, summer programs, STEM activities, College Test preparation, and college and career readiness."
"NEPANTLA TEACHERS COMMUNITY ","Educational Institutions","Our mission is to provide professional development for mathematics educators to develop critical perspectives by forming a community that can support educators to implement equitable practices through a social justice lens."
"SCD ENRICHMENT PROGRAM ","Educational Institutions","The St. Clair Drake (SCD) Enrichment program is a recruiting and support program for high achieving Black students and students of color in advanced and college track coursework."
"WE CODE INC ","Educational Institutions","We CODEs Mission is to introduce computer science and programming to minority youth, particularly in rural areas, equipping them with the abilities to become builders of technological innovation and brighter futures for themselves."
"STOCKTON BLACK FAMILY DAY ","Educational Institutions","The purpose of Stockton Black Family Day is to preserve, promote and foster and ongoing cultural celebration encompassing family values and traditions."
"CODE NEXT GEN ","Educational Institutions","Teaching Virtual Reality/Augmented Reality coding courses to female and minority students."
"SHINEHARD FOUNDATION ","Educational Institutions","To recognize and connect the nation's top millennial leaders, then to unify them to educate and inspire the next generation of African American leaders in our community."
"KENTUCKY BLACK BOURBON GUILD ","Educational Institutions","Honoring minority involvement throughout bourbon history while embracing it's future development through inclusivity, education and community building"
"ASSOCIATION OF BLACK ARGUMENTATIONPROFESSIONALS","Educational Institutions","The Association of Black Argumentation Professionals (ABAP) was created to empower Black debaters, coaches, educators, and advocates. We recognize the unique challenges faced by marginalized scholars and we seek to improve their conditions."
"WILLIAM WILBERFORCE INTERNATIONAL HUMAN RIGHTS LAW CENTRE","Educational Institutions","Church-based professional development program in human rights and humanitarian law for pastors, church officials, lawyers, judges, and human and civil rights advocates."
"ASSOCIATION OF BLACK NURSING FACULTY IN HIGHER EDUCATION INC","Educational Institutions","ABNF promotes and disseminates research and scholarly works of minority nurse academicians and maintains a group whereby professional nurses nurses with similar credentials and interests work to promote health-related issues and educational interests"
"MEMPHIS NSBE JR ","Educational Institutions","The mission of the National Society of Black Engineers is to increase the number of culturally responsible Black Engineers who excel academically, succeed professionally and positively impact the community."
"WILEY W MANUEL BAR ASSOCIATION OF SACRAMENTO COUNTY","Educational Institutions","To provide an organized bar affiliation to represent the professional interests of the legal community in Sacramento, with special emphasis on Black attorneys."
